Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.1639,-0.0785756,3.19497,20,0.3
0.02,0.135254,-0.0600422,3.19945,20,0.3
0.03,0.122848,-0.0500601,3.19949,20,0.3
0.05,0.110852,-0.0397469,3.19984,20,0.3
0.08,0.102106,-0.0324047,3.19997,20,0.3
0.1,0.0985042,-0.029508,3.20007,20,0.3
0.2,0.089061,-0.0223149,3.20022,20,0.3
0.3,0.0845751,-0.0190582,3.20019,20,0.3
0.5,0.0797911,-0.0157456,3.20026,20,0.3
0.8,0.0760727,-0.0133256,3.20031,20,0.3
1.0,0.0744934,-0.0123488,3.20037,20,0.3
2.0,0.0702329,-0.00989012,3.20044,20,0.3
3.0,0.0681303,-0.00876812,3.20047,20,0.3
5.0,0.0658369,-0.00760372,3.20051,20,0.3
8.0,0.0640432,-0.00687638,3.20054,20,0.3
10.0,0.0632579,-0.00665972,3.20055,20,0.3
11.0,0.0629308,-0.0066294,3.20058,20,0.3
21.0,0.0606121,-0.00648386,3.20058,20,0.3
31.0,0.0590876,-0.00658559,3.20059,20,0.3
61.0,0.0560482,-0.00679838,3.2006,20,0.3
81.0,0.0546924,-0.0067924,3.20059,20,0.3
100.0,0.0536668,-0.00672153,3.2006,20,0.3
110.0,0.0532425,-0.00668748,3.20059,20,0.3
210.0,0.0500391,-0.00608497,3.20059,20,0.3
310.0,0.048248,-0.00538424,3.20061,20,0.3
510.0,0.0461215,-0.0040774,3.20059,20,0.3
810.0,0.044339,-0.00233461,3.2006,20,0.3
1000.0,0.0435811,-0.00133121,3.2006,20,0.3
