Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.139682,-0.0605886,3.28263,20,0.3
0.02,0.115874,-0.0468196,3.28592,20,0.3
0.03,0.106061,-0.038769,3.28586,20,0.3
0.05,0.0969048,-0.0302643,3.2861,20,0.3
0.08,0.0904962,-0.0243256,3.28622,20,0.3
0.1,0.0878972,-0.022027,3.28631,20,0.3
0.2,0.0811056,-0.0163486,3.28641,20,0.3
0.3,0.0779123,-0.0138156,3.28642,20,0.3
0.5,0.0745646,-0.011256,3.28645,20,0.3
0.8,0.0720404,-0.00945468,3.28652,20,0.3
1.0,0.0709718,-0.00874879,3.28656,20,0.3
2.0,0.0680958,-0.0071683,3.28659,20,0.3
3.0,0.0666151,-0.00656257,3.28664,20,0.3
5.0,0.064852,-0.00604781,3.28666,20,0.3
8.0,0.0633177,-0.00578885,3.28669,20,0.3
10.0,0.0626006,-0.00572427,3.28669,20,0.3
11.0,0.0622988,-0.0057441,3.28671,20,0.3
21.0,0.0601423,-0.00588453,3.28672,20,0.3
31.0,0.0586575,-0.00613424,3.28671,20,0.3
61.0,0.0558235,-0.00646369,3.28673,20,0.3
81.0,0.0545372,-0.00652111,3.28673,20,0.3
100.0,0.0535355,-0.00650117,3.28671,20,0.3
110.0,0.0530971,-0.00648584,3.28673,20,0.3
210.0,0.0499737,-0.00601389,3.28672,20,0.3
310.0,0.0481598,-0.00540621,3.28673,20,0.3
510.0,0.0459622,-0.00420536,3.28673,20,0.3
810.0,0.0440859,-0.00249389,3.28673,20,0.3
1000.0,0.0433204,-0.00148594,3.28672,20,0.3
