Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.128025,-0.0603545,3.32298,20,0.3
0.02,0.105323,-0.0448191,3.32573,20,0.3
0.03,0.0965549,-0.0362205,3.32577,20,0.3
0.05,0.0887194,-0.0274183,3.32604,20,0.3
0.08,0.0834285,-0.0214444,3.32619,20,0.3
0.1,0.0813276,-0.0192032,3.32632,20,0.3
0.2,0.0758908,-0.0138134,3.32643,20,0.3
0.3,0.0733565,-0.0114905,3.32646,20,0.3
0.5,0.0707252,-0.00920516,3.32653,20,0.3
0.8,0.0687588,-0.00761401,3.32657,20,0.3
1.0,0.0679517,-0.00701943,3.32661,20,0.3
2.0,0.0657632,-0.0056899,3.32664,20,0.3
3.0,0.0646354,-0.00523527,3.32667,20,0.3
5.0,0.0632673,-0.00494157,3.32669,20,0.3
8.0,0.0620429,-0.00488316,3.32673,20,0.3
10.0,0.0614228,-0.0049173,3.32674,20,0.3
11.0,0.0611768,-0.00493316,3.32674,20,0.3
21.0,0.059227,-0.00523466,3.32675,20,0.3
31.0,0.0579262,-0.00553886,3.32676,20,0.3
61.0,0.0552774,-0.00599037,3.32677,20,0.3
81.0,0.054069,-0.00611159,3.32678,20,0.3
100.0,0.0531346,-0.0061289,3.32676,20,0.3
110.0,0.0527052,-0.00612709,3.32675,20,0.3
210.0,0.0497636,-0.00578744,3.32676,20,0.3
310.0,0.0479601,-0.00524503,3.32675,20,0.3
510.0,0.045773,-0.00411236,3.32675,20,0.3
810.0,0.0439231,-0.00247585,3.32675,20,0.3
1000.0,0.0431171,-0.00145369,3.32675,20,0.3
