Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.137052,-0.058917,3.28394,20,0.3
0.02,0.113665,-0.0455616,3.28699,20,0.3
0.03,0.10411,-0.0376558,3.2869,20,0.3
0.05,0.0952518,-0.0293072,3.28713,20,0.3
0.08,0.0890973,-0.0234948,3.28722,20,0.3
0.1,0.0865998,-0.021241,3.2873,20,0.3
0.2,0.0801043,-0.0157156,3.28741,20,0.3
0.3,0.0770512,-0.0132588,3.28742,20,0.3
0.5,0.0738615,-0.0107741,3.28746,20,0.3
0.8,0.0714577,-0.00902654,3.28751,20,0.3
1.0,0.0704559,-0.00835222,3.28754,20,0.3
2.0,0.0677374,-0.00684189,3.28757,20,0.3
3.0,0.0663192,-0.00627205,3.28761,20,0.3
5.0,0.064637,-0.00579896,3.28764,20,0.3
8.0,0.0631644,-0.00561942,3.28766,20,0.3
10.0,0.0624824,-0.0055905,3.28769,20,0.3
11.0,0.0621773,-0.00558936,3.28769,20,0.3
21.0,0.0600133,-0.00580126,3.2877,20,0.3
31.0,0.05859,-0.00605798,3.28769,20,0.3
61.0,0.0557682,-0.00638459,3.28771,20,0.3
81.0,0.0544847,-0.00645814,3.28771,20,0.3
100.0,0.0535194,-0.00643781,3.2877,20,0.3
110.0,0.0530682,-0.00641968,3.2877,20,0.3
210.0,0.0499864,-0.00601778,3.2877,20,0.3
310.0,0.0481592,-0.00538233,3.28771,20,0.3
510.0,0.0459643,-0.00418039,3.28769,20,0.3
810.0,0.0441159,-0.00249723,3.28769,20,0.3
1000.0,0.0433309,-0.0014886,3.28771,20,0.3
