Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.134896,-0.057711,3.2848,20,0.3
0.02,0.111933,-0.0446543,3.2878,20,0.3
0.03,0.102591,-0.0368605,3.28773,20,0.3
0.05,0.0939822,-0.0286164,3.28793,20,0.3
0.08,0.0880143,-0.0228716,3.28806,20,0.3
0.1,0.0856134,-0.0206757,3.28814,20,0.3
0.2,0.0793366,-0.0152432,3.28825,20,0.3
0.3,0.0763881,-0.012831,3.28826,20,0.3
0.5,0.0733292,-0.0104099,3.28831,20,0.3
0.8,0.071016,-0.00870303,3.28834,20,0.3
1.0,0.070053,-0.00805262,3.28839,20,0.3
2.0,0.0674481,-0.00658743,3.28843,20,0.3
3.0,0.066094,-0.00605676,3.28847,20,0.3
5.0,0.0644796,-0.00565535,3.28849,20,0.3
8.0,0.0630592,-0.00549444,3.2885,20,0.3
10.0,0.0623625,-0.00546337,3.28854,20,0.3
11.0,0.0620714,-0.00545762,3.28854,20,0.3
21.0,0.0599661,-0.00571048,3.28854,20,0.3
31.0,0.0585234,-0.00596925,3.28856,20,0.3
61.0,0.0557286,-0.00633009,3.28856,20,0.3
81.0,0.0544644,-0.00640531,3.28855,20,0.3
100.0,0.0534884,-0.00638898,3.28854,20,0.3
110.0,0.0530385,-0.00635647,3.28855,20,0.3
210.0,0.0499635,-0.00597006,3.28855,20,0.3
310.0,0.0481557,-0.00537176,3.28855,20,0.3
510.0,0.0459806,-0.00417795,3.28854,20,0.3
810.0,0.0441223,-0.00248562,3.28855,20,0.3
1000.0,0.043335,-0.0014752,3.28855,20,0.3
