Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.145589,-0.064632,3.27138,20,0.3
0.02,0.120842,-0.049855,3.27568,20,0.3
0.03,0.110434,-0.0414125,3.27585,20,0.3
0.05,0.100597,-0.0325325,3.27622,20,0.3
0.08,0.0936149,-0.0262937,3.27639,20,0.3
0.1,0.0907619,-0.0238609,3.27649,20,0.3
0.2,0.0832995,-0.0178347,3.27665,20,0.3
0.3,0.0797717,-0.0151353,3.27664,20,0.3
0.5,0.076059,-0.012392,3.27671,20,0.3
0.8,0.073238,-0.0104427,3.27676,20,0.3
1.0,0.0720431,-0.00968255,3.27681,20,0.3
2.0,0.0688147,-0.00791854,3.27686,20,0.3
3.0,0.0671378,-0.00717212,3.2769,20,0.3
5.0,0.0652023,-0.00648305,3.27694,20,0.3
8.0,0.0635821,-0.00612776,3.27695,20,0.3
10.0,0.0628284,-0.00605015,3.27698,20,0.3
11.0,0.0625084,-0.00601255,3.27699,20,0.3
21.0,0.0602653,-0.00613911,3.27699,20,0.3
31.0,0.0587825,-0.00631071,3.27701,20,0.3
61.0,0.0558913,-0.00658407,3.27702,20,0.3
81.0,0.054589,-0.00659305,3.277,20,0.3
100.0,0.0535823,-0.00659062,3.277,20,0.3
110.0,0.0531005,-0.00656724,3.277,20,0.3
210.0,0.049982,-0.00609715,3.277,20,0.3
310.0,0.0481493,-0.00544739,3.27701,20,0.3
510.0,0.045958,-0.00421211,3.277,20,0.3
810.0,0.0440863,-0.00249644,3.27701,20,0.3
1000.0,0.0433213,-0.00147419,3.277,20,0.3
