Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.122136,-0.0548723,3.3242,20,0.3
0.02,0.100717,-0.0409963,3.3266,20,0.3
0.03,0.0925569,-0.0330658,3.32656,20,0.3
0.05,0.0853814,-0.0249283,3.32677,20,0.3
0.08,0.0805956,-0.0194234,3.32691,20,0.3
0.1,0.0787181,-0.0173616,3.32702,20,0.3
0.2,0.0738435,-0.0124442,3.32714,20,0.3
0.3,0.071575,-0.010353,3.32716,20,0.3
0.5,0.069217,-0.00829121,3.3272,20,0.3
0.8,0.0674523,-0.00686337,3.32725,20,0.3
1.0,0.0667155,-0.00632954,3.3273,20,0.3
2.0,0.0647435,-0.00514091,3.32733,20,0.3
3.0,0.0637268,-0.00474058,3.32736,20,0.3
5.0,0.0625055,-0.00449506,3.32737,20,0.3
8.0,0.0613869,-0.00448757,3.32739,20,0.3
10.0,0.0607983,-0.00452821,3.32741,20,0.3
11.0,0.0605578,-0.00458804,3.32741,20,0.3
21.0,0.0587768,-0.00499969,3.32741,20,0.3
31.0,0.0575335,-0.00525716,3.32742,20,0.3
61.0,0.0549762,-0.00577356,3.32743,20,0.3
81.0,0.0538039,-0.0058838,3.32742,20,0.3
100.0,0.0529126,-0.00594561,3.32741,20,0.3
110.0,0.0524946,-0.00593663,3.32742,20,0.3
210.0,0.0495688,-0.00565982,3.32743,20,0.3
310.0,0.047809,-0.00516552,3.32743,20,0.3
510.0,0.0456466,-0.00407899,3.32742,20,0.3
810.0,0.0437671,-0.00243211,3.32742,20,0.3
1000.0,0.0429664,-0.00143485,3.32743,20,0.3
