Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.142242,-0.062591,3.28058,20,0.3
0.02,0.118024,-0.0482215,3.28442,20,0.3
0.03,0.107959,-0.0399527,3.28452,20,0.3
0.05,0.0985287,-0.0312646,3.2848,20,0.3
0.08,0.0918731,-0.0251807,3.28496,20,0.3
0.1,0.0891568,-0.0228187,3.28504,20,0.3
0.2,0.0820805,-0.0169921,3.28519,20,0.3
0.3,0.0787454,-0.0143829,3.28518,20,0.3
0.5,0.0752469,-0.0117484,3.28524,20,0.3
0.8,0.0725894,-0.00988044,3.28528,20,0.3
1.0,0.0714739,-0.00915666,3.28534,20,0.3
2.0,0.0684493,-0.00748638,3.28538,20,0.3
3.0,0.0668642,-0.00680754,3.28542,20,0.3
5.0,0.0650371,-0.00624912,3.28545,20,0.3
8.0,0.0634754,-0.00594602,3.28547,20,0.3
10.0,0.0627413,-0.00589712,3.28547,20,0.3
11.0,0.0624233,-0.00587881,3.28549,20,0.3
21.0,0.0602268,-0.00601038,3.28551,20,0.3
31.0,0.0587366,-0.006224,3.28551,20,0.3
61.0,0.0558741,-0.00650952,3.28551,20,0.3
81.0,0.0545743,-0.00656973,3.28551,20,0.3
100.0,0.0535762,-0.00655184,3.28551,20,0.3
110.0,0.0531084,-0.00653556,3.28551,20,0.3
210.0,0.0500137,-0.00606566,3.2855,20,0.3
310.0,0.0481559,-0.00542952,3.28551,20,0.3
510.0,0.0459666,-0.00422912,3.28552,20,0.3
810.0,0.0441019,-0.00250765,3.2855,20,0.3
1000.0,0.0433151,-0.00149163,3.28551,20,0.3
