Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.132971,-0.0582257,3.28714,20,0.3
0.02,0.110236,-0.044599,3.29015,20,0.3
0.03,0.101072,-0.0366155,3.29017,20,0.3
0.05,0.0926988,-0.0282517,3.29041,20,0.3
0.08,0.0869035,-0.0224676,3.29057,20,0.3
0.1,0.0845876,-0.0202567,3.29066,20,0.3
0.2,0.0785277,-0.0148509,3.29078,20,0.3
0.3,0.0756858,-0.0124542,3.29079,20,0.3
0.5,0.07274,-0.010075,3.29084,20,0.3
0.8,0.070532,-0.00840558,3.2909,20,0.3
1.0,0.0696069,-0.00776658,3.29093,20,0.3
2.0,0.0671161,-0.00634237,3.29098,20,0.3
3.0,0.0658315,-0.00584511,3.29101,20,0.3
5.0,0.0642614,-0.00544358,3.29104,20,0.3
8.0,0.0628876,-0.00532743,3.29105,20,0.3
10.0,0.062202,-0.00532259,3.29107,20,0.3
11.0,0.0619551,-0.00536784,3.29109,20,0.3
21.0,0.0598779,-0.00562768,3.29108,20,0.3
31.0,0.0584986,-0.00584228,3.29111,20,0.3
61.0,0.0556892,-0.00626995,3.2911,20,0.3
81.0,0.0544464,-0.00634464,3.29108,20,0.3
100.0,0.0534529,-0.00634959,3.2911,20,0.3
110.0,0.0529932,-0.00634604,3.29108,20,0.3
210.0,0.0499841,-0.00593058,3.2911,20,0.3
310.0,0.0481544,-0.0053617,3.29109,20,0.3
510.0,0.0459886,-0.00414773,3.29109,20,0.3
810.0,0.0441156,-0.00248057,3.2911,20,0.3
1000.0,0.043333,-0.00146354,3.29109,20,0.3
