Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.135344,-0.0693558,3.31137,20,0.3
0.02,0.111259,-0.0504098,3.31765,20,0.3
0.03,0.101786,-0.0405541,3.31881,20,0.3
0.05,0.0931569,-0.0306882,3.31973,20,0.3
0.08,0.0872433,-0.0240283,3.32019,20,0.3
0.1,0.084896,-0.0215162,3.32051,20,0.3
0.2,0.0787772,-0.0154618,3.32076,20,0.3
0.3,0.0759388,-0.0128551,3.32086,20,0.3
0.5,0.0730074,-0.0102963,3.32096,20,0.3
0.8,0.070808,-0.00851844,3.32104,20,0.3
1.0,0.0698911,-0.00783908,3.32111,20,0.3
2.0,0.0674373,-0.00635793,3.32116,20,0.3
3.0,0.0661673,-0.00586147,3.32122,20,0.3
5.0,0.0646395,-0.00547059,3.32124,20,0.3
8.0,0.0632554,-0.00535087,3.32126,20,0.3
10.0,0.0625979,-0.00536594,3.32128,20,0.3
11.0,0.0622984,-0.00537536,3.32129,20,0.3
21.0,0.0602011,-0.00568521,3.32132,20,0.3
31.0,0.0587815,-0.00599754,3.32131,20,0.3
61.0,0.0559526,-0.00637322,3.32133,20,0.3
81.0,0.0546576,-0.00646204,3.32132,20,0.3
100.0,0.0536765,-0.00645494,3.32132,20,0.3
110.0,0.053236,-0.00646304,3.32131,20,0.3
210.0,0.0501026,-0.00603682,3.32132,20,0.3
310.0,0.0482787,-0.00543958,3.32132,20,0.3
510.0,0.0460612,-0.00424045,3.32133,20,0.3
810.0,0.0441763,-0.0025673,3.3213,20,0.3
1000.0,0.0433793,-0.00156269,3.32131,20,0.3
