Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.11362,-0.0513634,3.32708,20,0.3
0.02,0.0945182,-0.0374489,3.32911,20,0.3
0.03,0.0874461,-0.0297992,3.32918,20,0.3
0.05,0.08139,-0.0220561,3.32946,20,0.3
0.08,0.0774452,-0.0168987,3.32965,20,0.3
0.1,0.0759118,-0.0150055,3.32978,20,0.3
0.2,0.0719727,-0.010562,3.3299,20,0.3
0.3,0.0701424,-0.00873142,3.32993,20,0.3
0.5,0.0682276,-0.00697459,3.32999,20,0.3
0.8,0.0667658,-0.00578736,3.33005,20,0.3
1.0,0.0661618,-0.00534325,3.33009,20,0.3
2.0,0.0645187,-0.00443103,3.33012,20,0.3
3.0,0.0636487,-0.0041396,3.33015,20,0.3
5.0,0.0625879,-0.00402893,3.33016,20,0.3
8.0,0.0615735,-0.00410512,3.33016,20,0.3
10.0,0.0610775,-0.00424726,3.33019,20,0.3
11.0,0.0608449,-0.00430603,3.33018,20,0.3
21.0,0.0590996,-0.0048701,3.33019,20,0.3
31.0,0.0578441,-0.00521775,3.3302,20,0.3
61.0,0.0553013,-0.00585371,3.3302,20,0.3
81.0,0.0541119,-0.00598719,3.3302,20,0.3
100.0,0.0531729,-0.00604234,3.33022,20,0.3
110.0,0.0527769,-0.00604833,3.33019,20,0.3
210.0,0.049734,-0.00581684,3.3302,20,0.3
310.0,0.0479388,-0.00535723,3.3302,20,0.3
510.0,0.0456926,-0.00425225,3.3302,20,0.3
810.0,0.0437479,-0.00259437,3.3302,20,0.3
1000.0,0.0429131,-0.00159948,3.3302,20,0.3
