Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.247896,-0.37389,3.46345,20,3.0
0.02,0.187295,-0.240772,3.4648,20,3.0
0.03,0.161496,-0.197416,3.4643,20,0.3
0.05,0.130887,-0.138347,3.46683,20,0.3
0.08,0.110483,-0.0999287,3.46737,20,0.3
0.1,0.102918,-0.0858867,3.46789,20,0.3
0.2,0.0858555,-0.0523767,3.46852,20,0.3
0.3,0.0794058,-0.039174,3.46882,20,0.3
0.5,0.0737163,-0.0271946,3.46918,20,0.3
0.8,0.070104,-0.0196109,3.46947,20,0.3
1.0,0.0687525,-0.0168973,3.46967,20,0.3
2.0,0.0655187,-0.0110162,3.46983,20,0.3
3.0,0.0640463,-0.0088941,3.46997,20,0.3
5.0,0.0624755,-0.00718707,3.47006,20,0.3
8.0,0.0611442,-0.00626001,3.47013,20,0.3
10.0,0.0605407,-0.00604119,3.47016,20,0.3
11.0,0.0602791,-0.00597703,3.47018,20,0.3
21.0,0.0583279,-0.00590537,3.47022,20,0.3
31.0,0.0569695,-0.00600468,3.47023,20,0.3
61.0,0.0542789,-0.00626281,3.47026,20,0.3
81.0,0.0530558,-0.00629596,3.47025,20,0.3
100.0,0.0521377,-0.00630892,3.47023,20,0.3
110.0,0.0516903,-0.00630781,3.47021,20,0.3
210.0,0.0486632,-0.0059233,3.47022,20,0.3
310.0,0.0468673,-0.00540964,3.47022,20,0.3
510.0,0.0446257,-0.00425234,3.47023,20,0.3
810.0,0.04269,-0.00257097,3.4702,20,0.3
1000.0,0.0418576,-0.00154698,3.4702,20,0.3
