Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.119317,-0.0522779,3.32442,20,0.3
0.02,0.0986428,-0.0391633,3.32674,20,0.3
0.03,0.0907725,-0.0315668,3.32671,20,0.3
0.05,0.0839149,-0.0237391,3.32694,20,0.3
0.08,0.0793913,-0.0184583,3.32708,20,0.3
0.1,0.0776145,-0.0164869,3.3272,20,0.3
0.2,0.0730319,-0.0117878,3.32731,20,0.3
0.3,0.0708874,-0.00979987,3.32734,20,0.3
0.5,0.068661,-0.00785411,3.32741,20,0.3
0.8,0.0669887,-0.00651866,3.32743,20,0.3
1.0,0.0663009,-0.00601023,3.32748,20,0.3
2.0,0.0644351,-0.00491078,3.3275,20,0.3
3.0,0.0634793,-0.00454087,3.32753,20,0.3
5.0,0.0622965,-0.00432798,3.32756,20,0.3
8.0,0.0612203,-0.00434939,3.32759,20,0.3
10.0,0.0606638,-0.00439365,3.32758,20,0.3
11.0,0.060439,-0.00444579,3.32759,20,0.3
21.0,0.0586782,-0.00487262,3.32759,20,0.3
31.0,0.0574534,-0.00521072,3.32762,20,0.3
61.0,0.0549263,-0.00570293,3.3276,20,0.3
81.0,0.0537709,-0.00583041,3.32759,20,0.3
100.0,0.0528704,-0.00590548,3.32759,20,0.3
110.0,0.052476,-0.00592056,3.32759,20,0.3
210.0,0.0495557,-0.00564652,3.32759,20,0.3
310.0,0.0477757,-0.00517478,3.32761,20,0.3
510.0,0.0456096,-0.00408088,3.32761,20,0.3
810.0,0.0437229,-0.00246629,3.3276,20,0.3
1000.0,0.0429035,-0.0014571,3.3276,20,0.3
