Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.14902,-0.0671639,3.25574,20,0.3
0.02,0.123624,-0.0517242,3.25954,20,0.3
0.03,0.112853,-0.0430078,3.2595,20,0.3
0.05,0.10263,-0.0338868,3.25979,20,0.3
0.08,0.0953031,-0.0274476,3.25988,20,0.3
0.1,0.0923079,-0.0249296,3.25998,20,0.3
0.2,0.0844666,-0.0186896,3.26009,20,0.3
0.3,0.0807482,-0.0158926,3.26007,20,0.3
0.5,0.0768226,-0.0130339,3.26014,20,0.3
0.8,0.0738267,-0.0109982,3.26017,20,0.3
1.0,0.0725731,-0.0102006,3.26023,20,0.3
2.0,0.0691372,-0.00830312,3.26028,20,0.3
3.0,0.0673669,-0.00750651,3.26033,20,0.3
5.0,0.0653619,-0.00676169,3.26034,20,0.3
8.0,0.0636896,-0.0063383,3.26038,20,0.3
10.0,0.0629345,-0.00622482,3.2604,20,0.3
11.0,0.0626216,-0.00615227,3.26041,20,0.3
21.0,0.0603502,-0.0062574,3.26041,20,0.3
31.0,0.0588211,-0.00641395,3.26043,20,0.3
61.0,0.0558848,-0.00662792,3.26044,20,0.3
81.0,0.0545779,-0.0066737,3.26042,20,0.3
100.0,0.0535576,-0.00664884,3.26041,20,0.3
110.0,0.0531031,-0.00660174,3.26043,20,0.3
210.0,0.0499695,-0.0060813,3.26043,20,0.3
310.0,0.0481367,-0.00545254,3.26041,20,0.3
510.0,0.0459618,-0.00418942,3.26043,20,0.3
810.0,0.0441046,-0.00246708,3.26041,20,0.3
1000.0,0.0433293,-0.00146157,3.26042,20,0.3
