Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.131829,-0.0637792,3.32069,20,0.3
0.02,0.108411,-0.0470964,3.32436,20,0.3
0.03,0.0993007,-0.0380757,3.3246,20,0.3
0.05,0.0910759,-0.02889,3.32499,20,0.3
0.08,0.0854729,-0.0226547,3.3252,20,0.3
0.1,0.0832544,-0.0203032,3.32535,20,0.3
0.2,0.0774553,-0.0146291,3.32549,20,0.3
0.3,0.0747598,-0.0121744,3.32554,20,0.3
0.5,0.0719713,-0.00975077,3.32562,20,0.3
0.8,0.0698755,-0.00807421,3.32566,20,0.3
1.0,0.0690148,-0.00744564,3.32571,20,0.3
2.0,0.0666864,-0.00604548,3.32576,20,0.3
3.0,0.0654776,-0.00556967,3.32579,20,0.3
5.0,0.0640321,-0.0052178,3.32582,20,0.3
8.0,0.0627075,-0.00512269,3.32584,20,0.3
10.0,0.0620824,-0.00514933,3.32585,20,0.3
11.0,0.0617938,-0.00518602,3.32587,20,0.3
21.0,0.0597821,-0.00550976,3.32587,20,0.3
31.0,0.0584029,-0.00582001,3.32589,20,0.3
61.0,0.0556491,-0.00619957,3.32587,20,0.3
81.0,0.0544177,-0.00628304,3.32587,20,0.3
100.0,0.0534439,-0.00629348,3.32587,20,0.3
110.0,0.0530149,-0.00631929,3.32587,20,0.3
210.0,0.0499649,-0.00592122,3.32586,20,0.3
310.0,0.0481404,-0.00535612,3.32587,20,0.3
510.0,0.0459394,-0.00418021,3.32588,20,0.3
810.0,0.0440603,-0.00252539,3.32588,20,0.3
1000.0,0.0432617,-0.0015077,3.32588,20,0.3
