Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.116558,-0.0505324,3.32501,20,0.3
0.02,0.0967377,-0.0376484,3.32721,20,0.3
0.03,0.0892792,-0.0302329,3.32721,20,0.3
0.05,0.0828123,-0.0226177,3.32744,20,0.3
0.08,0.0785757,-0.0175007,3.32762,20,0.3
0.1,0.0769116,-0.0156054,3.32773,20,0.3
0.2,0.0726331,-0.0111126,3.32783,20,0.3
0.3,0.0706483,-0.0092313,3.32788,20,0.3
0.5,0.0685651,-0.00739786,3.32795,20,0.3
0.8,0.0670039,-0.00615039,3.32798,20,0.3
1.0,0.0663515,-0.00567563,3.32801,20,0.3
2.0,0.0645788,-0.00466079,3.32804,20,0.3
3.0,0.0636524,-0.00434973,3.32806,20,0.3
5.0,0.0625522,-0.00419607,3.32809,20,0.3
8.0,0.0614779,-0.00422431,3.32811,20,0.3
10.0,0.0609667,-0.00435086,3.32811,20,0.3
11.0,0.0607403,-0.00440912,3.32812,20,0.3
21.0,0.059004,-0.00491194,3.32813,20,0.3
31.0,0.0577295,-0.00523383,3.32814,20,0.3
61.0,0.0551867,-0.00580722,3.32813,20,0.3
81.0,0.0539778,-0.00594377,3.32814,20,0.3
100.0,0.0530894,-0.00600196,3.32813,20,0.3
110.0,0.0526839,-0.00601261,3.32813,20,0.3
210.0,0.049705,-0.005761,3.32813,20,0.3
310.0,0.0478875,-0.00527726,3.32812,20,0.3
510.0,0.0456939,-0.00418553,3.32814,20,0.3
810.0,0.0437611,-0.00255423,3.32813,20,0.3
1000.0,0.0429352,-0.00154961,3.32814,20,0.3
