Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.133083,-0.0619983,3.29257,20,0.3
0.02,0.109893,-0.0466763,3.29647,20,0.3
0.03,0.100642,-0.0380262,3.29695,20,0.3
0.05,0.0922171,-0.0290403,3.2975,20,0.3
0.08,0.0864532,-0.0228901,3.29782,20,0.3
0.1,0.0841591,-0.0205636,3.29802,20,0.3
0.2,0.0781695,-0.0149069,3.29823,20,0.3
0.3,0.0753926,-0.0124512,3.29828,20,0.3
0.5,0.0725029,-0.0100175,3.29838,20,0.3
0.8,0.0703302,-0.00831786,3.29844,20,0.3
1.0,0.0694369,-0.00767692,3.29848,20,0.3
2.0,0.0670197,-0.00625508,3.29853,20,0.3
3.0,0.0657384,-0.00573761,3.29857,20,0.3
5.0,0.0642304,-0.00539019,3.2986,20,0.3
8.0,0.062876,-0.00529046,3.29862,20,0.3
10.0,0.0622241,-0.00530296,3.29863,20,0.3
11.0,0.0619372,-0.00530456,3.29865,20,0.3
21.0,0.0598819,-0.00561892,3.29865,20,0.3
31.0,0.0584649,-0.00587358,3.29865,20,0.3
61.0,0.0557145,-0.00624462,3.29866,20,0.3
81.0,0.0544411,-0.00634249,3.29867,20,0.3
100.0,0.053478,-0.00636333,3.29866,20,0.3
110.0,0.0530286,-0.00632522,3.29866,20,0.3
210.0,0.0499692,-0.00591134,3.29865,20,0.3
310.0,0.0481669,-0.00534381,3.29867,20,0.3
510.0,0.0459869,-0.00415481,3.29866,20,0.3
810.0,0.0441333,-0.00250265,3.29866,20,0.3
1000.0,0.0433253,-0.00146783,3.29866,20,0.3
