Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.153433,-0.0713292,3.23833,20,0.3
0.02,0.127112,-0.0546294,3.24239,20,0.3
0.03,0.115858,-0.0454253,3.2424,20,0.3
0.05,0.105085,-0.0358327,3.24272,20,0.3
0.08,0.0973323,-0.029066,3.24285,20,0.3
0.1,0.0941437,-0.0264189,3.24293,20,0.3
0.2,0.0858176,-0.0198603,3.24307,20,0.3
0.3,0.0818573,-0.0168987,3.24308,20,0.3
0.5,0.0776765,-0.0138963,3.24314,20,0.3
0.8,0.074454,-0.0117348,3.24318,20,0.3
1.0,0.0730944,-0.0108832,3.24323,20,0.3
2.0,0.0693917,-0.00879891,3.24329,20,0.3
3.0,0.0675202,-0.00790361,3.24332,20,0.3
5.0,0.0654218,-0.00702936,3.24336,20,0.3
8.0,0.0637001,-0.00650002,3.2434,20,0.3
10.0,0.0629373,-0.00633614,3.24341,20,0.3
11.0,0.0626134,-0.00628215,3.24343,20,0.3
21.0,0.0603175,-0.00630156,3.24344,20,0.3
31.0,0.0588021,-0.00641826,3.24344,20,0.3
61.0,0.0558662,-0.00666699,3.24344,20,0.3
81.0,0.0545557,-0.00666892,3.24343,20,0.3
100.0,0.0535395,-0.00664075,3.24343,20,0.3
110.0,0.0531031,-0.0066401,3.24345,20,0.3
210.0,0.0499169,-0.00607486,3.24343,20,0.3
310.0,0.0481364,-0.0054003,3.24343,20,0.3
510.0,0.0459798,-0.00412634,3.24343,20,0.3
810.0,0.0441561,-0.00241,3.24343,20,0.3
1000.0,0.0433907,-0.00139828,3.24344,20,0.3
