Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.157861,-0.0756801,3.21534,20,0.3
0.02,0.130587,-0.0575231,3.21974,20,0.3
0.03,0.118848,-0.0477818,3.21986,20,0.3
0.05,0.107557,-0.0377132,3.22021,20,0.3
0.08,0.0993911,-0.0306281,3.22035,20,0.3
0.1,0.0960314,-0.0278411,3.22047,20,0.3
0.2,0.0872325,-0.0209713,3.22061,20,0.3
0.3,0.0830387,-0.0178689,3.22061,20,0.3
0.5,0.0785842,-0.0147191,3.22069,20,0.3
0.8,0.0751471,-0.0124319,3.22073,20,0.3
1.0,0.0736998,-0.0115403,3.22079,20,0.3
2.0,0.0697469,-0.00929875,3.22085,20,0.3
3.0,0.0677774,-0.00828988,3.22089,20,0.3
5.0,0.0655737,-0.0072898,3.22093,20,0.3
8.0,0.0638341,-0.00668733,3.22095,20,0.3
10.0,0.0630367,-0.00649373,3.22097,20,0.3
11.0,0.06273,-0.00643276,3.22097,20,0.3
21.0,0.0604183,-0.00639885,3.22098,20,0.3
31.0,0.0589107,-0.00647598,3.22102,20,0.3
61.0,0.0559193,-0.00670453,3.221,20,0.3
81.0,0.0546074,-0.00673649,3.221,20,0.3
100.0,0.0535918,-0.00667105,3.22098,20,0.3
110.0,0.0531343,-0.00664467,3.22101,20,0.3
210.0,0.0499793,-0.00608597,3.221,20,0.3
310.0,0.0481846,-0.00540508,3.221,20,0.3
510.0,0.0460259,-0.00410178,3.221,20,0.3
810.0,0.0442149,-0.00237814,3.22099,20,0.3
1000.0,0.0434784,-0.00137262,3.221,20,0.3
