Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.143558,-0.0551444,3.28978,20,0.3
0.02,0.121898,-0.0423044,3.29253,20,0.3
0.03,0.113076,-0.0345589,3.29246,20,0.3
0.05,0.105171,-0.0262493,3.29266,20,0.3
0.08,0.099972,-0.020474,3.29279,20,0.3
0.1,0.0979512,-0.0182811,3.29289,20,0.3
0.2,0.0928074,-0.0130721,3.293,20,0.3
0.3,0.0904566,-0.0108734,3.29303,20,0.3
0.5,0.087995,-0.00873522,3.29309,20,0.3
0.8,0.0861343,-0.00730567,3.29313,20,0.3
1.0,0.0853555,-0.00678034,3.29317,20,0.3
2.0,0.0831988,-0.00566574,3.2932,20,0.3
3.0,0.0820437,-0.00531221,3.29322,20,0.3
5.0,0.0805912,-0.00507412,3.29327,20,0.3
8.0,0.0792745,-0.00510515,3.29327,20,0.3
10.0,0.078606,-0.00511678,3.29328,20,0.3
11.0,0.0783305,-0.00517212,3.29329,20,0.3
21.0,0.0762952,-0.00549085,3.29331,20,0.3
31.0,0.0749169,-0.00575739,3.29332,20,0.3
61.0,0.0722154,-0.00628594,3.29331,20,0.3
81.0,0.0709696,-0.00643158,3.29331,20,0.3
100.0,0.0700174,-0.00649561,3.29329,20,0.3
110.0,0.0696014,-0.0064815,3.2933,20,0.3
210.0,0.0665952,-0.00640558,3.29329,20,0.3
310.0,0.0647538,-0.00611864,3.2933,20,0.3
510.0,0.062434,-0.00549633,3.2933,20,0.3
810.0,0.060272,-0.00450128,3.29331,20,0.3
1000.0,0.0592833,-0.00386028,3.29331,20,0.3
