Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.145761,-0.0644804,3.31444,20,0.3
0.02,0.122458,-0.0472927,3.31989,20,0.3
0.03,0.113163,-0.0379525,3.32078,20,0.3
0.05,0.104946,-0.0283832,3.32152,20,0.3
0.08,0.0995768,-0.0218607,3.32192,20,0.3
0.1,0.0975056,-0.0193958,3.32218,20,0.3
0.2,0.0922825,-0.0136265,3.32241,20,0.3
0.3,0.0899106,-0.0112487,3.32253,20,0.3
0.5,0.0874436,-0.00894156,3.32262,20,0.3
0.8,0.0855973,-0.0074134,3.3227,20,0.3
1.0,0.0848141,-0.00682944,3.32274,20,0.3
2.0,0.0826968,-0.00561218,3.32279,20,0.3
3.0,0.081569,-0.00522812,3.32284,20,0.3
5.0,0.080185,-0.00497898,3.32286,20,0.3
8.0,0.0788971,-0.00494404,3.32288,20,0.3
10.0,0.0782628,-0.00496029,3.32289,20,0.3
11.0,0.0780198,-0.00502897,3.3229,20,0.3
21.0,0.0760403,-0.00535728,3.32293,20,0.3
31.0,0.0747337,-0.00566366,3.32292,20,0.3
61.0,0.0720901,-0.00617845,3.32293,20,0.3
81.0,0.0708536,-0.00631307,3.32293,20,0.3
100.0,0.0699085,-0.00638413,3.32293,20,0.3
110.0,0.0695257,-0.006401,3.32293,20,0.3
210.0,0.0665372,-0.00634375,3.32293,20,0.3
310.0,0.0647241,-0.006072,3.32293,20,0.3
510.0,0.0623935,-0.00547172,3.32293,20,0.3
810.0,0.0602338,-0.00450163,3.32294,20,0.3
1000.0,0.0592267,-0.00387754,3.32293,20,0.3
