Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.139209,-0.0547993,3.32376,20,0.3
0.02,0.117529,-0.0414053,3.32611,20,0.3
0.03,0.109064,-0.0334407,3.32601,20,0.3
0.05,0.101699,-0.0250226,3.32621,20,0.3
0.08,0.0969646,-0.019267,3.32634,20,0.3
0.1,0.0951465,-0.017106,3.32646,20,0.3
0.2,0.0905578,-0.0120286,3.32657,20,0.3
0.3,0.0884742,-0.00992336,3.32661,20,0.3
0.5,0.0862948,-0.00791171,3.32667,20,0.3
0.8,0.0846545,-0.00657002,3.32672,20,0.3
1.0,0.0839674,-0.00607364,3.32675,20,0.3
2.0,0.082077,-0.00502657,3.32678,20,0.3
3.0,0.0810808,-0.00470005,3.32682,20,0.3
5.0,0.0798478,-0.00453719,3.32683,20,0.3
8.0,0.0786893,-0.00459585,3.32685,20,0.3
10.0,0.0781089,-0.00467258,3.32686,20,0.3
11.0,0.0778665,-0.00474879,3.32686,20,0.3
21.0,0.0759806,-0.00521035,3.32687,20,0.3
31.0,0.0747046,-0.00548909,3.32687,20,0.3
61.0,0.0720489,-0.0061463,3.3269,20,0.3
81.0,0.0708578,-0.00632001,3.32688,20,0.3
100.0,0.0699214,-0.0064361,3.32689,20,0.3
110.0,0.0694711,-0.00644824,3.32688,20,0.3
210.0,0.0664615,-0.00641448,3.32688,20,0.3
310.0,0.0645953,-0.00619979,3.32687,20,0.3
510.0,0.062215,-0.00556939,3.32687,20,0.3
810.0,0.0600027,-0.00458926,3.32687,20,0.3
1000.0,0.0589909,-0.00395691,3.32687,20,0.3
